project,soil,dsp_pedon_id,lat,long,ID,mat,map,climate
NCState,Cecil,CeH2-1,35.72877,-78.67504,179,15.360666275024414,1154,warm_wet
NCState,Cecil,CeH2-2,35.72871,-78.67478,180,15.360666275024414,1154,warm_wet
NCState,Cecil,CeH2-3,35.72865,-78.67452,181,15.360666275024414,1154,warm_wet
NCState,Cecil,CeH3-1,35.73246,-78.67191,182,15.360666275024414,1154,warm_wet
NCState,Cecil,CeH3-2,35.73285,-78.67204,183,15.360666275024414,1154,warm_wet
NCState,Cecil,CeH3-3,35.73325,-78.67215,184,15.360666275024414,1154,warm_wet
TexasA&MPt-1,Amarillo,NAT-1 - 1,32.060626,-102.406408,185,17.543832778930664,376,warm_dry
TexasA&MPt-1,Amarillo,NAT-2 - 2,33.059817,-102.406791,186,15.607999801635742,453,warm_dry
TexasA&MPt-1,Amarillo,NAT-3 - 3,33.060119,-102.406186,187,15.607999801635742,453,warm_dry
TexasA&MPt-1,Amarillo,CVT - 1 - 1,32.774177,-101.9472,188,16.16983413696289,462,warm_dry
TexasA&MPt-1,Amarillo,CVT - 1 - 2,32.774177,-101.9472,189,16.16983413696289,462,warm_dry
TexasA&MPt-1,Amarillo,CVT - 1 - 3,32.774177,-101.9472,190,16.16983413696289,462,warm_dry
TexasA&MPt-1,Amarillo,NTR - 1 - 1,32.775007,-101.947399,191,16.16983413696289,462,warm_dry
TexasA&MPt-1,Amarillo,NTR - 1 - 2,32.775007,-101.947399,192,16.16983413696289,462,warm_dry
TexasA&MPt-1,Amarillo,NTR - 1 - 3,32.775007,-101.947399,193,16.16983413696289,462,warm_dry
TexasA&MPt-1,Amarillo,NTM - 1 - 1,32.774275,-101.946881,194,16.16983413696289,462,warm_dry
TexasA&MPt-1,Amarillo,NTM - 1 - 2,32.774275,-101.946881,195,16.16983413696289,462,warm_dry
TexasA&MPt-1,Amarillo,NTM - 1 - 3,32.774275,-101.946881,196,16.16983413696289,462,warm_dry
TexasA&MPt-1,Amarillo,NTR - 2 - 1,32.775007,-101.947399,197,16.16983413696289,462,warm_dry
TexasA&MPt-1,Amarillo,NTR - 2 - 2,32.775007,-101.947399,198,16.16983413696289,462,warm_dry
TexasA&MPt-1,Amarillo,NTR - 2 - 3,32.775007,-101.947399,199,16.16983413696289,462,warm_dry
TexasA&MPt-1,Amarillo,NTM - 2 - 1,32.775004,-101.947229,200,16.16983413696289,462,warm_dry
TexasA&MPt-1,Amarillo,NTM - 2 - 2,32.775004,-101.947229,201,16.16983413696289,462,warm_dry
TexasA&MPt-1,Amarillo,NTM - 2 - 3,32.775004,-101.947229,202,16.16983413696289,462,warm_dry
TexasA&MPt-1,Amarillo,CVT - 2 - 1,32.774988,-101.947051,203,16.16983413696289,462,warm_dry
TexasA&MPt-1,Amarillo,CVT - 2 - 2,32.774988,-101.947051,204,16.16983413696289,462,warm_dry
TexasA&MPt-1,Amarillo,CVT - 2 - 3,32.774988,-101.947051,205,16.16983413696289,462,warm_dry
TexasA&MPt-1,Amarillo,NTM-3 - 1,32.775739,-101.94738,206,16.16983413696289,462,warm_dry
TexasA&MPt-1,Amarillo,NTM-3 - 2,32.775739,-101.94738,207,16.16983413696289,462,warm_dry
TexasA&MPt-1,Amarillo,NTM-3 - 3,32.775739,-101.94738,208,16.16983413696289,462,warm_dry
TexasA&MPt-1,Amarillo,CVT - 3 - 1,32.775734,-101.947185,209,16.16983413696289,462,warm_dry
TexasA&MPt-1,Amarillo,CVT - 3 - 2,32.775734,-101.947185,210,16.16983413696289,462,warm_dry
TexasA&MPt-1,Amarillo,CVT - 3 - 3,32.775734,-101.947185,211,16.16983413696289,462,warm_dry
TexasA&MPt-1,Amarillo,NTR - 3 - 1,32.775683,-101.947009,212,16.16983413696289,462,warm_dry
TexasA&MPt-1,Amarillo,NTR - 3 - 2,32.775683,-101.947009,213,16.16983413696289,462,warm_dry
TexasA&MPt-1,Amarillo,NTR - 3 - 3,32.775683,-101.947009,214,16.16983413696289,462,warm_dry
TexasA&MPt-2,Pullman,R-1-1,35.18025,-102.093806,215,13.280166625976563,472,cool_dry
TexasA&MPt-2,Pullman,MT-1-1,35.18025,-102.093806,216,13.280166625976563,472,cool_dry
TexasA&MPt-2,Pullman,MT-1-2,35.18025,-102.093806,217,13.280166625976563,472,cool_dry
TexasA&MPt-2,Pullman,MT-1-3,35.18025,-102.093806,218,13.280166625976563,472,cool_dry
TexasA&MPt-2,Pullman,NT-2-1,35.18025,-102.093806,219,13.280166625976563,472,cool_dry
TexasA&MPt-2,Pullman,NT-2-2,35.18025,-102.093806,220,13.280166625976563,472,cool_dry
TexasA&MPt-2,Pullman,NT-2-3,35.18025,-102.093806,221,13.280166625976563,472,cool_dry
TexasA&MPt-2,Pullman,MT-2-1,35.18025,-102.093806,222,13.280166625976563,472,cool_dry
TexasA&MPt-2,Pullman,MT-2-2,35.18025,-102.093806,223,13.280166625976563,472,cool_dry
TexasA&MPt-2,Pullman,MT-2-3,35.18025,-102.093806,224,13.280166625976563,472,cool_dry
TexasA&MPt-2,Pullman,NT - 3-1,35.18025,-102.093806,225,13.280166625976563,472,cool_dry
TexasA&MPt-2,Pullman,R-1-2,35.18025,-102.093806,226,13.280166625976563,472,cool_dry
TexasA&MPt-2,Pullman,NT - 3-2,35.18025,-102.093806,227,13.280166625976563,472,cool_dry
TexasA&MPt-2,Pullman,NT - 3-3,35.18025,-102.093806,228,13.280166625976563,472,cool_dry
TexasA&MPt-2,Pullman,MT-3-1,35.18025,-102.093806,229,13.280166625976563,472,cool_dry
TexasA&MPt-2,Pullman,MT-3-2,35.18025,-102.093806,230,13.280166625976563,472,cool_dry
TexasA&MPt-2,Pullman,MT-3-3,35.18025,-102.093806,231,13.280166625976563,472,cool_dry
TexasA&MPt-2,Pullman,R-1-3,35.18025,-102.093806,232,13.280166625976563,472,cool_dry
TexasA&MPt-2,Pullman,R-2-1,35.18025,-102.093806,233,13.280166625976563,472,cool_dry
TexasA&MPt-2,Pullman,R-2-2,35.18025,-102.093806,234,13.280166625976563,472,cool_dry
TexasA&MPt-2,Pullman,R-2-3,35.18025,-102.093806,235,13.280166625976563,472,cool_dry
TexasA&MPt-2,Pullman,NT-1-1,35.18025,-102.093806,236,13.280166625976563,472,cool_dry
TexasA&MPt-2,Pullman,NT-1-2,35.18025,-102.093806,237,13.280166625976563,472,cool_dry
TexasA&MPt-2,Pullman,NT-1-3,35.18025,-102.093806,238,13.280166625976563,472,cool_dry
UnivOfMinnesota,Readlyn,CON-1,43.74768,-92.845294,239,6.805333614349365,821,cool_dry
UnivOfMinnesota,Marquis,CON-2,43.747906,-92.845601,240,6.805333614349365,821,cool_dry
UnivOfMinnesota,Marquis,CON-3,43.747593,-92.844985,241,6.805333614349365,821,cool_dry
UnivOfMinnesota,Marquis,CON-4,43.750483,-92.84107,242,6.757166862487793,827,cool_dry
UnivOfMinnesota,Marquis,CON-5,43.75062,-92.84134,243,6.757166862487793,827,cool_dry
UnivOfMinnesota,Marquis,CON-6,43.75034,-92.84078,244,6.757166862487793,827,cool_dry
UnivOfMinnesota,Readlyn,CON-7,43.75222,-92.84329,245,6.757166862487793,827,cool_dry
UnivOfMinnesota,Readlyn,CON-8,43.75218,-92.843677,246,6.757166862487793,827,cool_dry
UnivOfMinnesota,Readlyn,CON-9,43.752284,-92.842882,247,6.757166862487793,827,cool_dry
UnivOfMinnesota,Marquis,ALT-1,43.74984,-92.85464,248,6.805333614349365,821,cool_dry
UnivOfMinnesota,Marquis,ALT-2,43.74981,-92.85499,249,6.805333614349365,821,cool_dry
UnivOfMinnesota,Marquis,ALT-3,43.74953,-92.85457,250,6.805333614349365,821,cool_dry
UnivOfMinnesota,Readlyn,ALT-4,43.74922,-92.85453,251,6.805333614349365,821,cool_dry
UnivOfMinnesota,Readlyn,ALT-5,43.74899,-92.85467,252,6.805333614349365,821,cool_dry
UnivOfMinnesota,Readlyn,ALT-6,43.74893,-92.85419,253,6.805333614349365,821,cool_dry
UnivOfMinnesota,Marquis,ALT-7,43.74876,-92.85348,254,6.805333614349365,821,cool_dry
UnivOfMinnesota,Marquis,ALT-8,43.74855,-92.85374,255,6.805333614349365,821,cool_dry
UnivOfMinnesota,Readlyn,ALT-9,43.749,-92.85341,256,6.805333614349365,821,cool_dry
