project,soil,dsp_pedon_id,pedon_x,pedon_y,ID,mat,map,climate
OregonState,Woodburn,WoCT2-2,-122.842742,45.014034,221,11.441166877746582,1053,cool_wet
OregonState,Woodburn,WoCT2-3,-122.843042,45.013834,222,11.441166877746582,1053,cool_wet
OregonState,Woodburn,WoCT3-1,-123.06167,45.1251,223,11.435500144958496,1018,cool_wet
OregonState,Woodburn,WoCT3-2,-123.06201,45.1251,224,11.435500144958496,1018,cool_wet
OregonState,Woodburn,WoCT3-3,-123.06134,45.1248,225,11.442500114440918,1014,cool_wet
OregonState,Woodburn,WoH1-1,-122.96961,45.2279,226,11.487166404724121,1011,cool_wet
OregonState,Woodburn,WoH1-2,-122.96961,45.2278,227,11.487166404724121,1011,cool_wet
OregonState,Woodburn,WoH1-3,-122.96981,45.2279,228,11.487166404724121,1011,cool_wet
OregonState,Woodburn,WoH2-1,-123.213416,45.074334,229,11.355833053588867,1131,cool_wet
OregonState,Woodburn,WoH2-2,-123.213516,45.074334,230,11.355833053588867,1131,cool_wet
OregonState,Woodburn,WoH2-3,-123.213616,45.074334,231,11.355833053588867,1131,cool_wet
OregonState,Woodburn,WoH3-1,-122.86279,44.94845,232,11.209833145141602,1138,cool_wet
OregonState,Woodburn,WoH3-2,-122.86289,44.94855,233,11.209833145141602,1138,cool_wet
OregonState,Woodburn,WoH3-3,-122.86259,44.94815,234,11.209833145141602,1138,cool_wet
OregonState,Woodburn,WoNT1-1,-123.27097,44.737333,235,11.279166221618652,1284,cool_wet
OregonState,Woodburn,WoNT1-2,-123.27107,44.737333,236,11.279166221618652,1284,cool_wet
OregonState,Woodburn,WoNT1-3,-123.27077,44.737633,237,11.279166221618652,1284,cool_wet
OregonState,Woodburn,WoNT2-1,-123.21367,45.07067,238,11.355833053588867,1131,cool_wet
OregonState,Woodburn,WoNT2-2,-123.21377,45.07057,239,11.355833053588867,1131,cool_wet
OregonState,Woodburn,WoNT2-3,-123.21387,45.07097,240,11.355833053588867,1131,cool_wet
OregonState,Woodburn,WoNT3-1,-122.856544,44.950981,241,11.209833145141602,1138,cool_wet
OregonState,Woodburn,WoNT3-2,-122.856644,44.950981,242,11.209833145141602,1138,cool_wet
OregonState,Woodburn,WoNT3-3,-122.856744,44.950981,243,11.209833145141602,1138,cool_wet
UTRGV,Hidalgo,AR2-1,-98.203663,26.309166,244,23.37433433532715,590,warm_dry
UTRGV,Hidalgo,AR2-2,-98.20307,26.30907954,245,23.37433433532715,590,warm_dry
UTRGV,Hidalgo,AR2-3,-98.202272,26.30896,246,23.37433433532715,590,warm_dry
UTRGV,Hidalgo,AR3-1,-97.865571,26.425936,247,22.996166229248047,682,warm_dry
UTRGV,Hidalgo,AR3-2,-97.86555,26.42575,248,22.996166229248047,682,warm_dry
UTRGV,Hidalgo,AR3-3,-97.863987,26.425912,249,22.996166229248047,682,warm_dry
UTRGV,Hidalgo,AX1-1,-97.86129,26.37183,250,23.07349967956543,673,warm_dry
UTRGV,Hidalgo,AX1-2,-97.861285,26.376803,251,23.059999465942383,678,warm_dry
UTRGV,Hidalgo,AX1-3,-97.861396,26.381147,252,23.059999465942383,678,warm_dry
UTRGV,Hidalgo,AX2-1,-97.860439,26.372257,253,23.07349967956543,673,warm_dry
UTRGV,Hidalgo,AX2-2,-97.854799,26.372359,254,23.07349967956543,673,warm_dry
UTRGV,Hidalgo,AX2-3,-97.841816,26.372348,255,23.07349967956543,673,warm_dry
UTRGV,Hidalgo,AX3-1,-97.845711,26.449237,256,22.996166229248047,682,warm_dry
UTRGV,Hidalgo,AX3-2,-97.84310718,26.45138326,257,22.996166229248047,682,warm_dry
UTRGV,Hidalgo,AX3-3,-97.842418,26.451224,258,22.996166229248047,682,warm_dry
UTRGV,Hidalgo,AY1-1,-97.87775,26.429164,259,22.969499588012695,668,warm_dry
UTRGV,Hidalgo,AY1-2,-97.876675,26.428431,260,22.969499588012695,668,warm_dry
UTRGV,Hidalgo,AY1-3,-97.878012,26.423498,261,22.969499588012695,668,warm_dry
UTRGV,Hidalgo,AY2-1,-97.87736,26.417867,262,22.969499588012695,668,warm_dry
UTRGV,Hidalgo,AY2-2,-97.877546,26.408338,263,22.976499557495117,667,warm_dry
UTRGV,Hidalgo,AY2-3,-97.867819,26.408107,264,23.059999465942383,678,warm_dry
UTRGV,Hidalgo,AY3-1,-97.894115,26.378011,265,22.976499557495117,667,warm_dry
UTRGV,Hidalgo,AY3-2,-97.882158,26.371559,266,23.023332595825195,658,warm_dry
UTRGV,Hidalgo,AY3-3,-97.881485,26.371856,267,23.023332595825195,658,warm_dry
UTRGV,Hidalgo,AZ1-1,-97.814156,26.442916,268,22.976333618164063,690,warm_dry
UTRGV,Hidalgo,AZ1-2,-97.81413,26.440373,269,22.976333618164063,690,warm_dry
UTRGV,Hidalgo,AZ1-3,-97.814157,26.441954,270,22.976333618164063,690,warm_dry
UTRGV,Hidalgo,AZ2-1,-97.857232,26.358343,271,23.07349967956543,673,warm_dry
UTRGV,Hidalgo,AZ2-2,-97.846311,26.358388,272,23.07349967956543,673,warm_dry
UTRGV,Hidalgo,AZ2-3,-97.85824,26.36504,273,23.07349967956543,673,warm_dry
UTRGV,Hidalgo,AZ3-1,-97.852623,26.389298,274,23.059999465942383,678,warm_dry
UTRGV,Hidalgo,AZ3-2,-97.852666,26.387731,275,23.059999465942383,678,warm_dry
UTRGV,Hidalgo,AZ3-3,-97.849146,26.387833,276,23.059999465942383,678,warm_dry
