DSP_Pedon_ID,DSP_Plot_ID,pedon_x,pedon_y,Label_full,Label,PLFA_ID_Surface,LU,till,trt,explanation,State,Site,Pedon_Num,Project,Soil_Sampled_Name,Project_full,partsize_class,Gen_surf,Gen_MAP,Gen_MAT,Texture_Class,Target_Soil_Name
IL-147-SW-CRP-002,IL-147-SW-CRP,-88.743611,39.896889,BAU - Conventional,BAU,IL-147-SW-CRP-002-1-051220,CROP,Till,Conventional,Conventionally managed field in a corn-soybean rotation with cover crops established prior to corn ,,Cripe,2,Illinois,Flanagan,Illinois - Drummer,,,999,11,scl,Drummer
IL-147-SW-CRP-003,IL-147-SW-CRP,-88.743333,39.898194,BAU - Conventional,BAU,IL-147-SW-CRP-003-1-051220,CROP,Till,Conventional,Conventionally managed field in a corn-soybean rotation with cover crops established prior to corn ,,Cripe,3,Illinois,Dana,Illinois - Drummer,,,999,11,scl,Drummer
IL-019-SW-ARBRTM-001,IL-019-SW-ARBRTM,-88.216396,40.0916401,Ref - Ref,Ref,IL-019-SW-ARBRTM-001-1-061920,FOREST,Perennial,Ref,Restored since 1990,,Arboretum,1,Illinois,Drummer,Illinois - Drummer,,,1015,11,scl,Drummer
IL-019-SW-ARBRTM-002,IL-019-SW-ARBRTM,-88.2161899,40.0918033,Ref - Ref,Ref,IL-019-SW-ARBRTM-002-1-061920,FOREST,Perennial,Ref,Restored since 1990,,Arboretum,2,Illinois,Drummer,Illinois - Drummer,,,1015,11,sil ,Drummer
IL-019-SW-ARBRTM-003,IL-019-SW-ARBRTM,-88.2159005,40.0914285,Ref - Ref,Ref,IL-019-SW-ARBRTM-003-1-061920,FOREST,Perennial,Ref,Restored since 1990,,Arboretum,3,Illinois,Drummer,Illinois - Drummer,,,1015,11,sil ,Drummer
IL-019-SW-RTHRML-001,IL-019-SW-RTHRML,-88.0238,39.9295,SHM - NT,SHM,IL-019-SW-RTHRML-001-1-010820,CROP,No-till,NT,No-Till managed with corn-soybean rotations,,Rothermel,1,Illinois,Drummer,Illinois - Drummer,,SiCL,1007,11,,Drummer
IL-019-SW-RTHRML-002,IL-019-SW-RTHRML,-88.0238,39.9295,SHM - NT,SHM,IL-019-SW-RTHRML-002-1-010820,CROP,No-till,NT,No-Till managed with corn-soybean rotations,,Rothermel,2,Illinois,Drummer,Illinois - Drummer,,,1007,11,,Drummer
IL-019-SW-RTHRML-003,IL-019-SW-RTHRML,-88.0275783,39.9254322,SHM - NT,SHM,IL-019-SW-RTHRML-003-1-010820,CROP,No-till,NT,No-Till managed with corn-soybean rotations,,Rothermel,3,Illinois,Flanagan,Illinois - Drummer,,,1006,11,,Drummer
IL-019-SW-RTHRML-004,IL-019-SW-RTHRML,-88.0275783,39.9254322,SHM - NT,SHM,IL-019-SW-RTHRML-004-1-010820,CROP,No-till,NT,No-Till managed with corn-soybean rotations,,Rothermel,4,Illinois,Flanagan,Illinois - Drummer,,SiL,1006,11,,Drummer
IL-115-SW-WDFLD-001A,IL-115-SW-WDFLD,-88.798131,39.866062,BAU - Organic,BAU,IL-115-SW-WDFLD-001A-1-11192020,CROP,Till,Organic,Organically managed in a corn-soybean-small grains rotation with cover crops established prior to corn ,,Woodfield,1,Illinois,Drummer,Illinois - Drummer,,,998,11,sic,Drummer
